cinder	cone	6	two hulking volcanoes , mauna loa and mauna kea , are over 13,000ft high and dominate the horizon , and rubble from cinder cones lines most roads	scorie	cône	6	exploitation de la pouzzolane du volcan de lemptegy spatter cone , cône de scories soudées
cinder	cone	7	later volcanic activity built a small cinder cones in the lake called wizard island , which today provides a mute reminder of past activity figure 4.19	scorie	cône	7	on aperçoit au fond un petit cône de scories ; la terrasse , qui surplombe en arrière-plan , est le reste d un ancien niveau du plancher du cratère
cinder	cone	8	this order of events--eruption , formation of cone and crater , lava flow--is a common sequence in the formation of cinder cones	scorie	cône		
cinder	cone	9	cinder cones in lassen volcanic park is just one vivid reminder	scorie	cône		
cinder	cone	10	cinder cones	scorie	cône		
cinder	cone	11	cinder cones can be found on shield and stratovolcanoes and at divergent and convergent plate boundaries and hot spots	scorie	cône		
cinder	cone	12	cinder cones and astronomical observatories are located at the summit of the volcano	scorie	cône		
cinder	cone	13	note how it dwarfs a typical cinder cones	scorie	cône		
cinder	cone	14	made of tephra - lava blown into the air and solidified - cinder cones are usually small , steep-sided structures formed during a single , mildly explosive event	scorie	cône		
cinder	cone	15	the alignment of cinder cones suggests rift zones once extended to the west , south , and east	scorie	cône		
cinder	cone	16	cinder cones are built from ejected lava fragments and are usually less than 300 meters 1000 feet high	scorie	cône		
cinder	cone	17	cinder cones are rather small , usually less than 300 meters 1000 feet high , often forming near larger volcanoes , and often in groups	scorie	cône		
cinder	cone	18	a last gasp of eruptions produced a small cinder cones , which rises above the water surface as wizard island near the rim of the lake	scorie	cône		
cinder	cone	19	today , paricutin is just another one of the numerous quiet cinder cones dotting the landscape in this region of mexico	scorie	cône		
cinder	cone	20	the most common types of volcanic landfor ms ar : shield volcanoes , stratovolcanoes , cinder cones , volcanic domes , volcanic spines , and lava plains	scorie	cône		
cinder	cone	21	cinder cones are easily eroded , because they are composed of unconsolidated materials	scorie	cône		
cinder	cone	22	the tephra accumulates near the central vent and builds a cinder cones	scorie	cône		
cinder	cone	23	cinder cones are conical hills produced by the accumulation of cinders and other tephra	scorie	cône		
cinder	cone	24	from the barren , red cinder cones on the summit of mauna kea to the fern-lined craters and black sand beaches of puna , volcanic activity has combined with the subtropical climate to create the scenery that draws visitors from all over the world	scorie	cône		
cinder	cone	25	cinder cones are numerous in western north america as well as throughout other volcanic terrains of the world	scorie	cône		
cinder	cone	26	the profile of the mauna loa shield appears smooth , whereas the shield profile of mauna kea has a more uneven appearance , reflecting the growth of numerous small cinder cones on its upper slopes after shield formation	scorie	cône		
cinder	cone	27	cinder cone	scorie	cône		
cinder	cone	28	in 1943 a cinder cones started growing on a farm near the village of par\edcutin in mexico	scorie	cône		
cinder	cone	29	photo by greg vaughn figure 4.11 sp crater , a cinder cones north of flagstaff , arizona	scorie	cône		
cinder	cone	30	cinder cones are the simplest type of volcano	scorie	cône		
cinder	cone	31	a brief film that includes good footage of lava fountains , formation of cinder cones , and advance of lava flows into the pacific ocean	scorie	cône		
cinder	cone	32	three hours later i looked down on suribachi , a 530-foot cinder cones that hardly seemed worthy of the prefix mount. it was hard to believe that the five-by-two-mile patch of land connected to it was the site of one of the bloodiest battles in world war ii , where some 25,000 soldiers - japanese and american - died	scorie	cône		
cinder	cone	33	profile of sunset crater , arizona , a typical steep-sided cinder cones	scorie	cône		
cinder	cone	34	the deep fractures in the continental crust are responsible for both the wells gray-clearwater field and the stikine belt , which includes the mount edziza volcanic field , a huge complex of vast lava flows , obsidian-rich cliffs , canary-yellow sulphurous ridges , and a series of tiny , perfect 150-metre-high cinder cones that date from about 1,000 years ago	scorie	cône		
cinder	cone	35	park visitors can see this perched lava pond by walking one mile 1.6 km on the napau crater trail and climbing puu huluhulu , a prehistoric cinder cones	scorie	cône		
cinder	cone	36	instead , the volcanoes might erupt lava and then , tens of thousands of years later , create a cinder cones	scorie	cône		
cinder	cone	37	scoria cones , also known as cinder cones , are the most common type of volcano	scorie	cône		
cinder	cone	38	between june 1983 and january 1984 , a series of small explosions , lava fountains , and lava flows erupted from a small cinder cones within the caldera	scorie	cône		
cinder	cone	39	the explosions hurled molten lava from the cinder cones , and lava flows melted a pit about 1.5 kilometers in diameter in the ice near the base of the volcano	scorie	cône		
cinder	cone	40	the costa ricans are deeply proud of their most famous volcano , arenal , a shapely cinder cones that rises into the clouds from t he rainforest around its base	scorie	cône		
cinder	cone	41	cinder cone , a volcanic cone built entirely of loose fragmented material pyroclastics	scorie	cône		
cinder	cone	42	the calderas of the older volcanoes of the island have been filled by younger lava flows and cinder cones	scorie	cône		
cinder	cone	43	most cinder cones have a bowl-shaped crater at the summit and rarely rise more than a thousand feet or so above their surroundings	scorie	cône		
cinder	cone	44	geologists generally group volcanoes into four main kinds--cinder cones , composite volcanoes , shield volcanoes , and lava domes	scorie	cône		
cinder	cone	45	tradewinds blew the tephra to the southwest , where it accumulated to form the cinder cones	scorie	cône		
cinder	cone	46	this photo shows a cinder cones on kohala volcano in hawaii	scorie	cône		
cinder	cone	47	these vents culminate in the post-glacial cinder cones and lava flows of the nazko area west of quesnel	scorie	cône		
cinder	cone	48	explosion pits , hardened lava flows , and cinder cones reveal other major volcanic episodes	scorie	cône		
cinder	cone	49	cinder cone s fantastic lava beds looked so new to early researchers they misdated them by 200 years	scorie	cône		
cinder	cone	50	the summit and upper flanks of the volcano , part of which are shown in this photo , are covered by numerous cinder cones	scorie	cône		
cinder	cone	51	while turrin acknowledges that the volcanoes look young , he says his work raises a questio : what is young when you look at a cinder cone ? wells says the age discrepancy may signal a problem with the standard theory that cinder cones eruptions happen all in one shot during a short period of time	scorie	cône		
cinder	cone	52	cinder cones as the name suggests , cinder cones are built from ejected lava fragments	scorie	cône		
cinder	cone	53	the lava accumulates near the vent to produce a spatter or cinder cones	scorie	cône		
cinder	cone	54	the cycles of volcanism are laid out clear as museum specimen : craters taped in snow , dark paws of lava , hills of glossy obsidian , and cinder cones that look as if poured yesterday	scorie	cône		
cinder	cone	55	at devastation trail , our next stop , we paused at a cinder cones called puu puai , created in 1959 when a lava fountain surged out of a vent in kilauea s side and threw up cinder bits that fell steadily around the vent , eventually forming the cone	scorie	cône		
cinder	cone	56	this photo shows the interior of strawberry knoll , a cinder cones in southwestern utah	scorie	cône		
cinder	cone	57	72 cinder cones p	scorie	cône		
cinder	cone	58	terns and characteristic form : shield volcanoes , cinder cones , and composite cones	scorie	cône		
cinder	cone	59	the first glimpse of the caldera reveals a black , brown , and gray otherworld of cinder cones , lava flows , and explosion pits	scorie	cône		
cinder	cone	60	subsequent eruptions produced the cinder cones called wizard island	scorie	cône		
cinder	cone	61	puu puai , shown in this photo , is a cinder cones that formed during the 1959 eruption at kilauea iki crater	scorie	cône		
cinder	cone	62	cinder cones have very steep slopes composed of pyroclastic material	scorie	cône		
cinder	cone	63	a cinder cones is a conical hill formed by the accumulation of cinders and other pyroclasts , normally of basaltic and andesitic composition bates and jackson , 1980 , p	scorie	cône		
cinder	cone	64	rising 700 feet from its base , a cone of cinder sits symmetrical as sand in an hourglass on the park s northeast edge	scorie	cône		
cinder	block	1	the jagged cinder blocks that break off the front are then overridden by the massive lava core of the flow which pushes forward	scorie	bloc	1	le dynamisme strombolien il s exprime par des explosions rythmiques qui projettent des blocs et des scories incandescents
cinder	blast	1	at the same time the latest blasts of cinder and ash shook the island for up to 40 minutes , according to a report from the montserrat volcano observatory	scorie	détruire	1	a l époque , des coulées de lave avaient menacé l église de reykjahlid , l enserrant dans ses scories sans la détruire
cinder	ash	1	its summit stands 3375 metres above sea level , while its circumference of around 100 kilometres encloses over 1100 square kilometres of lava , ash and cinders	scorie	cendre	1	il s agit de cônes de laves , où les scories , les cendres et les lapillis n interviennent que peu
cinder	ash	2	effusive volcanoes produce a lot of lava and hardly any ash or cinders	scorie	cendre	2	en arrivant à la surface , le magma se dissocie en : - des produits liquides : laves ; - des produits solides ou solidifiés : blocs , bombes , scories , cendres , etc
cinder	ash	3	on occasions , these craters fill or partly fill with magma to form lava lakes , or they may erupt explosively , throwing out molten rock , cinder and ash	scorie	cendre	3	a stông , une grande ferme viking du xiiè siècle a été , telle une villa de pompéi , exhumée des cendres et des scories par des archéologues scandinaves
cinder	ash	4	at the same time the latest blasts of cinder and ash shook the island for up to 40 minutes , according to a report from the montserrat volcano observatory	scorie	cendre	4	les laves et produits pyroclastiques on rencontre le plus souvent une roche noire ou grise , à structure vésiculaire ou amygdaloïdale le basalte , des scories , des cendres , des éjections de tout calibre à l état solide les lapillis , des tufs , des pierres ponces , des gouttelettes de lave larmes de lave : verre volcanique , bombes minuscules d une lave très fluide et parfois des bombes volcaniques
cinder	ash	5	gas leaving the magma propelled incandescent cinder and ash as high as 1,900 feet 580 m above the vent	scorie	cendre	5	la grande fissure se ferma partiellement et l émission de laves se localisa en quelques points le long de la fissure : il se forma là de petits cônes de cendres et de scories
cinder	ash			scorie	cendre	6	lorsque la pression dépasse la résistance du bouchon , une violente explosion projette des cendres , des scories , des bombes à plusieurs kilomètres de hauteur
cinder	ash			scorie	cendre	7	enveloppé d un manteau de glace , son cône parfait est saupoudré de scories et de cendres
cinder	ash			scorie	cendre	8	lorsque les magmas parviennent à la surface de la croûte terrestre par un ou plusieurs conduits appelés cheminées , ils libèrent : des liquides ou laves ; des produits solides ou solidifiés : blocs , bombes , scories , cendres , etc
cinder	ash	1	its summit stands 3375 metres above sea level , while its circumference of around 100 kilometres encloses over 1100 square kilometres of lava , ash and cinders	scorie	détruire	1	a l époque , des coulées de lave avaient menacé l église de reykjahlid , l enserrant dans ses scories sans la détruire
cinder	ash	2	effusive volcanoes produce a lot of lava and hardly any ash or cinders	scorie	détruire		
cinder	ash	3	on occasions , these craters fill or partly fill with magma to form lava lakes , or they may erupt explosively , throwing out molten rock , cinder and ash	scorie	détruire		
cinder	ash	4	at the same time the latest blasts of cinder and ash shook the island for up to 40 minutes , according to a report from the montserrat volcano observatory	scorie	détruire		
cinder	ash	5	gas leaving the magma propelled incandescent cinder and ash as high as 1,900 feet 580 m above the vent	scorie	détruire		
